annual_average_employees,total_hours_worked,naics_code,industry_description,establishment_type,size,state,fatal_incident,source
5,6945.0,522110,Oil and Gas Extraction,Operating,1,KY,0,OSHA_ITA_2016
1,741.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
9,14669.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
5,9394.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
5,9292.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
12,19026.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,6653.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,13735.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,1107.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,11618.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,7186.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
565,1226174.0,236220,additionalterationrenovationgeneralcontractorscommercialinstitutionalbuilding,1.0,3,TX,1,OSHA_ITA_2016
70,145600.0,518210,dataprocessingservicesexceptpayrollservicesfinancialtransactionprocessingservices,1.0,2,WI,0,OSHA_ITA_2016
487,1177896.0,551114,corporateoffices,1.0,3,AL,0,OSHA_ITA_2016
14,23100.0,238990,chainlinkfenceinstallation,1.0,1,NC,0,OSHA_ITA_2016
281,482112.0,623110,skillednursingfacilities,1.0,3,PA,0,OSHA_ITA_2016
20,41600.0,238210,electricalcontractors,1.0,2,TX,0,OSHA_ITA_2016
24,48764.0,424690,chemicalsexceptagricultureegautomotivehouseholdindustrialphotographicmerchantwholesalers,1.0,2,CA,0,OSHA_ITA_2016
31,53285.0,236220,commercialbuildingconstruction,1.0,2,NY,0,OSHA_ITA_2016
54,98328.0,312230,cigarettesmanufacturing,1.0,2,NY,0,OSHA_ITA_2016
57,115702.0,236220,commercialbuildingconstruction,1.0,2,CO,0,OSHA_ITA_2016
22,40774.0,424690,chemicalsexceptagricultureegautomotivehouseholdindustrialphotographicmerchantwholesalers,1.0,2,NY,0,OSHA_ITA_2016
600,1181440.0,921120,legislativebodiesegfederallocalstate,2.0,3,MI,0,OSHA_ITA_2016
18,35431.0,238990,chainlinkfenceinstallation,1.0,1,NC,0,OSHA_ITA_2016
319,714587.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,TN,0,OSHA_ITA_2016
15,27675.0,424690,chemicalsexceptagricultureegautomotivehouseholdindustrialphotographicmerchantwholesalers,1.0,1,OH,0,OSHA_ITA_2016
40,78336.0,237110,sewerconstruction,1.0,2,MO,0,OSHA_ITA_2016
103,138919.0,721110,hotelsexceptcasinohotels,1.0,2,NY,0,OSHA_ITA_2016
56,112511.0,333613,bearingsplainexceptinternalcombustionenginemanufacturing,1.0,2,WI,0,OSHA_ITA_2016
430,929861.0,335311,transformerselectricpowermanufacturing,1.0,3,AR,0,OSHA_ITA_2016
13,22814.0,424690,chemicalsexceptagricultureegautomotivehouseholdindustrialphotographicmerchantwholesalers,1.0,1,TX,0,OSHA_ITA_2016
155,325056.0,221121,transmissionelectricpower,1.0,2,VT,0,OSHA_ITA_2016
130,285177.0,238210,highwaystreetbridgelightingelectricalsignalinstallation,1.0,2,TX,0,OSHA_ITA_2016
180,381009.0,323111,commercialflexographicprintingexceptbooks,1.0,2,IL,0,OSHA_ITA_2016
336,939822.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,TN,0,OSHA_ITA_2016
15,29360.0,424690,chemicalsexceptagricultureegautomotivehouseholdindustrialphotographicmerchantwholesalers,1.0,1,NY,0,OSHA_ITA_2016
